"","rowname","variable","value","geoid"
"590","I.5","hh1",30.172,"51059492300"
"591","I.6","hh1",63.141,"51059492300"
"592","I.7","hh1",78.885,"51059492300"
"593","I.8","hh1",23.384,"51059492300"
"594","I.9","hh1",21.448,"51059492300"
"595","I.1","hh2",5.505,"51059492300"
"596","I.2","hh2",0,"51059492300"
"597","I.3","hh2",8.636,"51059492300"
"598","I.4","hh2",6.996,"51059492300"
"599","I.5","hh2",18.139,"51059492300"
"600","I.6","hh2",60.97,"51059492300"
"601","I.7","hh2",85.277,"51059492300"
"602","I.8","hh2",54.629,"51059492300"
"603","I.9","hh2",90.848,"51059492300"
"604","I.1","hh3",1.643,"51059492300"
"605","I.2","hh3",0,"51059492300"
"606","I.3","hh3",6.76,"51059492300"
"607","I.4","hh3",3.247,"51059492300"
"608","I.5","hh3",8.373,"51059492300"
"609","I.6","hh3",21.503,"51059492300"
"610","I.7","hh3",25.616,"51059492300"
"611","I.8","hh3",17.887,"51059492300"
"612","I.9","hh3",45.971,"51059492300"
"613","I.1","hh4",0.456,"51059492300"
"614","I.2","hh4",0,"51059492300"
"615","I.3","hh4",4.389,"51059492300"
"616","I.4","hh4",3.796,"51059492300"
"617","I.5","hh4",10.058,"51059492300"
"618","I.6","hh4",90.451,"51059492300"
"619","I.7","hh4",100.164,"51059492300"
"620","I.8","hh4",33.651,"51059492300"
"621","I.9","hh4",84.035,"51059492300"
"622","I.1","hh5",0.278,"51059492300"
"623","I.2","hh5",0,"51059492300"
"624","I.3","hh5",6.637,"51059492300"
"625","I.4","hh5",4.688,"51059492300"
"626","I.5","hh5",4.258,"51059492300"
"627","I.6","hh5",16.935,"51059492300"
"628","I.7","hh5",22.057,"51059492300"
"629","I.8","hh5",17.45,"51059492300"
"630","I.9","hh5",27.697,"51059492300"
"631","I.1","hh1",6.174,"51059492203"
"632","I.2","hh1",5.744,"51059492203"
"633","I.3","hh1",3.21,"51059492203"
"634","I.4","hh1",8.057,"51059492203"
"635","I.5","hh1",6.282,"51059492203"
"636","I.6","hh1",3.773,"51059492203"
"637","I.7","hh1",34.651,"51059492203"
"638","I.8","hh1",17.962,"51059492203"
"639","I.9","hh1",28.148,"51059492203"
"640","I.1","hh2",11.101,"51059492203"
"641","I.2","hh2",4.462,"51059492203"
"642","I.3","hh2",1.08,"51059492203"
"643","I.4","hh2",5.571,"51059492203"
"644","I.5","hh2",4.391,"51059492203"
"645","I.6","hh2",4.845,"51059492203"
"646","I.7","hh2",61.133,"51059492203"
