"rowname","variable","value","geoid"
"I.9","hh2",492.127,"51059492202"
"I.1","hh3",1.054,"51059492202"
"I.2","hh3",0,"51059492202"
"I.3","hh3",1.533,"51059492202"
"I.4","hh3",0.655,"51059492202"
"I.5","hh3",28.616,"51059492202"
"I.6","hh3",29.681,"51059492202"
"I.7","hh3",59.902,"51059492202"
"I.8","hh3",50.868,"51059492202"
"I.9","hh3",215.691,"51059492202"
"I.1","hh4",0.47,"51059492202"
"I.2","hh4",0,"51059492202"
"I.3","hh4",0.824,"51059492202"
"I.4","hh4",0.556,"51059492202"
"I.5","hh4",22.583,"51059492202"
"I.6","hh4",35.696,"51059492202"
"I.7","hh4",101.385,"51059492202"
"I.8","hh4",56.341,"51059492202"
"I.9","hh4",278.145,"51059492202"
"I.1","hh5",0.353,"51059492202"
